name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Check eGIRD,CO2rate(lbs/MWh),NOXrate(lbs/MWh),SO2rate(lbs/MWh),CO2Tax($/MWh),NOXTax($/MWh),SO2Tax($/MWh),PMTax($/MWh),LAT,LON
ANAHM_2_CANYN2,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,TRUE,1271.97,0.092,0.006,27.33592964,1.21693,0.199869,5.50648,33.858056,-117.861667
ANAHM_2_CANYN3,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,TRUE,1271.97,0.092,0.006,27.33592964,1.21693,0.199869,5.50648,33.858056,-117.861667
ANAHM_2_CANYN4,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,TRUE,1271.97,0.092,0.006,27.33592964,1.21693,0.199869,5.50648,33.858056,-117.861667
ANAHM_7_CT,ngct,SCE,42.81,11.9,11.97,12.03,15,43,1,1,3.17,18.08219178,2996.7,TRUE,1073.76,0.18,0.006,23.07619505,2.38095,0.199869,5.50648,33.853542,-117.856286
ARCOGN_2_UNITS,ngcc,SCE,416.6,6.01,6.27,6.53,167,417,5,5,2,191.5129151,29162,TRUE,657.324,1.417,0.015,14.12656165,63.0161155,1.27005,12.62517,33.816647,-118.244841
BARRE_6_PEAKER,ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,TRUE,1209.12,0.124,0.006,25.98521919,1.64021,0.199869,5.50648,33.8073,-117.9832
BASICE_2_UNITS,ngcc,PGE_valley,135,6.64,6.9,7.16,54,135,5,5,2,61.99261993,9450,TRUE,848.902,0.166,0.004,18.24376781,1.872729,0.122014,4.547334,37.0001,-121.5367
BDGRCK_1_UNITS,ngct,PGE_valley,47.49,7.52,7.58,7.65,17,48,1,1,3.17,20,3324.3,TRUE,809.167,11.674,0.004,17.38982223,66.220765,0.024496,1.413492,35.483736,-119.029856
BEARMT_1_UNIT,ngct,PGE_valley,47.49,7.1,7.17,7.23,17,48,1,1,3.17,20,3324.3,TRUE,803.689,11.596,0.004,17.27209444,65.77831,0.024496,1.413492,35.419181,-118.926643
BOGUE_1_UNITA1,ngct,PGE_valley,46.3,9.15,9.21,9.28,17,47,1,1,3.17,19.45205479,3241,TRUE,1464.84,0.913,0.007,31.48090221,3.5978591,0.0784665,1.172481,39.109344,-121.60931
BORDER_6_UNITA1,ngct,SDGE,51.25,11.9,11.97,12.03,6,52,1,1,3.17,21.64383562,3587.5,TRUE,1291.84,0.123,0.007,27.76295616,1.693956,0.2969155,4.557959,32.562448,-116.943869
BRDWAY_7_UNIT3,ngst,SCE,65,11.19,11.89,12.6,26,65,6,6,2,13.49693252,4550,TRUE,1398,0.3,0,30.04444259,13.34145,0,12.63779,34.1254,-118.148
BUCKBL_2_PL1X3,ngcc,SCE,493.63,9.91,10.17,10.43,198,494,1,1,2,226.9372694,34554.1,TRUE,890.354,0.054,0.004,19.13461347,0.535572,0.139916,2.940709,33.6157,-114.6865
CALPIN_1_AGNEW,ngcc,PGE_valley,28,8.05,8.31,8.57,12,28,5,5,2,12.91512915,1960,TRUE,1120.49,2.981,0.031,24.0804703,33.6301515,0.9456085,4.542792,37.4058,-121.9272
CENTER_6_PEAKER,ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,TRUE,1444.76,0.109,0.007,31.04936257,4.8473935,0.59269,12.63779,33.9296,-118.1046
CENTRY_6_PL1X4,ngct,SCE,41.4,13.16,13.23,13.29,15,42,1,1,3.17,17.53424658,2898,TRUE,1847.79,4.923,0.051,39.71088739,30.340449,0.3872175,1.338059,34.0606,-117.3533
CHALK_1_UNIT,ngct,PGE_valley,47.49,7.41,7.48,7.54,17,48,1,1,3.17,20,3324.3,TRUE,841.288,2.214,0.023,18.08013521,12.558915,0.140852,1.413492,35.0968,-119.4299
CHEVCD_6_UNIT,ngct,PGE_valley,11.5,8.02,8.08,8.15,5,12,1,1,3.17,4.931506849,805,TRUE,608.026,1.619,0.017,13.06709746,9.1837775,0.104108,1.413492,35.1133,-119.4706
CHEVCO_6_UNIT_2,ngcc,PGE_valley,12.5,7.13,7.39,7.65,5,13,6,6,2,5.904059041,875,TRUE,603.19,1.595,0.016,12.9631669,8.8833525,0.23004,1.25732,36.1556,-120.3972
CHEVCO_6_UNIT1,ngct,PGE_valley,19,8.02,8.08,8.15,7,19,1,1,3.17,7.945205479,1330,TRUE,603.19,1.595,0.016,12.9631669,8.8833525,0.23004,1.25732,36.1556,-120.3972
CHINO_6_CIMGEN,ngct,SCE,31.6,6.93,7,7.06,12,32,1,1,3.17,13.42465753,2212,TRUE,793.694,2.101,0.022,17.05729171,12.948463,0.167035,1.338059,33.989626,-117.680911
CHWCHL_1_UNIT,ngct,PGE_valley,48.6,8.71,8.77,8.84,18,49,1,1,3.17,20.54794521,3402,TRUE,1212.29,28.145,0.033,26.05334571,123.4397483,0.3841365,1.163148,37.1073,-120.2485
COCOPP_2_CTG1,ngct,PGE_bay,204.2,8.65,8.71,8.78,72,205,1,1,3.17,86.08219178,14294,TRUE,1397.8,0.083,0.007,30.04014439,1.2349155,0.249648,7.069397,38.016944,-121.765
COCOPP_2_CTG2,ngct,PGE_bay,202.7,8.65,8.71,8.78,71,203,1,1,3.17,85.45205479,14189,TRUE,1397.8,0.083,0.007,30.04014439,1.2349155,0.249648,7.069397,38.016944,-121.765
COCOPP_2_CTG3,ngct,PGE_bay,208.96,8.65,8.71,8.78,74,209,1,1,3.17,88.08219178,14627.2,TRUE,1397.8,0.083,0.007,30.04014439,1.2349155,0.249648,7.069397,38.016944,-121.765
COCOPP_2_CTG4,ngct,PGE_bay,204.29,8.65,8.71,8.78,72,205,1,1,3.17,86.10958904,14300.3,TRUE,1397.8,0.083,0.007,30.04014439,1.2349155,0.249648,7.069397,38.016944,-121.765
COLGA1_6_SHELLW,ngct,PGE_valley,52.9,6.23,6.29,6.36,19,53,1,1,3.17,22.19178082,3703,TRUE,634.565,1.701,0.017,13.63744758,9.4737195,0.2444175,1.25732,36.170317,-120.364084
